rule,ruleName,type
parliament\.uk/business/committees/committees-a-z/joint-select/terrorism-prevention-and-investigation-measures-bill,Draft Enhanced Terrorism Prevention and Investigation Measures Bill,NA
parliament\.uk/business/committees/committees-a-z/joint-select/draft-financial-services-bill,Draft Financial Services Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/draft-freedom-of-information-bill,Draft Freedom of Information Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-gambling-bill-regional-casinos,Draft Gambling Bill (Regional Casinos),NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-house-of-lords-reform-bill,Draft House of Lords Reform Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-human-tissue-and-embryos-bill-,Draft Human Tissue and Embryos Bill,NA
parliament\.uk/business/committees/committees-a-z/joint-select/draft-investigatory-powers-bill,Draft Investigatory Powers Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-legal-services-bill,Draft Legal Services Bill,NA
parliament\.uk/business/committees/committees-a-z/commons-select/draft-local-audit-bill-ad-hoc-committee,Draft Local Audit Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-marine-bill,Draft Marine Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-mental-health-bill,Draft Mental Health Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-mental-incapacity-bill,Draft Mental Incapacity Bill,NA
parliament\.uk/business/committees/committees-a-z/joint-select/draft-modern-slavery-bill,Draft Modern Slavery Bill,NA
parliament\.uk/business/committees/committees-a-z/joint-select/draft-protection-of-charities-bill,Draft Protection of Charities Bill,NA
parliament\.uk/business/committees/committees-a-z/joint-select/draft-voting-eligibility-prisoners-bill,Draft Voting Eligibility (Prisoners) Bill,NA
(?<filter>parliament\.uk/edm),early day motion,NA
publications\.parliament\.uk/.+/cmedm,early day motion,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/east-midlands-committee,East Midlands Committee,NA
publications\.parliament\.uk/.+/cmeastmid,East Midlands Regional Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/east-of-england-committee,East of England Committee,NA
publications\.parliament\.uk/.+/jtecc,Ecclesiastical Committee,NA
parliament\.uk/business/committees/committees-a-z/other-committees/ecclesiastical-committee,Ecclesiastical Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/economic-affairs-committee,Economic Affairs Committee,NA
parliament\.uk/documents/lords-committees/economic-affairs,Economic Affairs Committee,NA
publications\.parliament\.uk/.+/ldeconaf,Economic Affairs Committee (and Finance Bill Sub-Committee),NA
parliament\.uk/business/committees/committees-a-z/lords-select/economic-affairs-finance-bill-sub-committee,Economic Affairs Finance Bill Sub-Committee,NA
parliament\.uk/documents/lords-committees/economic-affairs-finance-bill,Economic Affairs Sub-Committee on the Finance Bill,NA
(?<filter>parliament\.uk/business/committees/committees-archives/lfinbill),Economic Affairs Sub-Committee on the Finance Bill (Lords),NA
secondreading\.parliament\.uk.*/economy-business,Economy and Business,NA
archive\.scottish\.parliament\.uk/s3/committees/eet,"Economy, Energy and Tourism",NA
archive\.scottish\.parliament\.uk/business/committees/edinburghAirLinkBill,Edinburgh Airport Rail Link Bill,NA
